City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Esfahan,IR,32.6572,51.6776,35.24,43,0,3.78,clear sky
248,Progreso,MX,21.2833,-89.6667,86.11,78,6,13.98,clear sky
249,Broome,US,42.2506,-75.833,34.61,69,100,6.91,overcast clouds
250,Alberdi,AR,-32.8899,-60.6906,75.22,33,0,11.5,clear sky
251,Arrecife,ES,28.963,-13.5477,76.98,25,0,11.5,clear sky
252,Lac Du Bonnet,CA,50.2536,-96.0612,19.69,95,100,4.76,overcast clouds
253,Rorvik,NO,64.8621,11.2373,40.98,100,100,6.91,fog
254,Faanui,PF,-16.4833,-151.75,78.28,79,99,7.23,light rain
255,Makhachkala,RU,42.9764,47.5024,44.58,64,12,14.2,few clouds
256,Mana,GF,5.6592,-53.7767,79.36,87,42,12.12,scattered clouds
257,Mungwi,ZM,-10.1732,31.3694,64.18,84,85,3.71,overcast clouds
258,Olinda,BR,-8.0089,-34.8553,80.33,74,75,5.75,broken clouds
259,Grand Gaube,MU,-20.0064,57.6608,72.0,63,30,5.01,scattered clouds
260,Alexandria,EG,31.2156,29.9553,68.2,54,5,9.24,clear sky
261,Porgera,PG,-5.4667,143.2,47.93,94,100,1.23,overcast clouds
262,Moerai,PF,-22.4333,-151.3333,70.23,80,92,9.71,overcast clouds
263,Waharoa,NZ,-37.7667,175.7667,72.75,75,18,7.18,few clouds
264,Talnakh,RU,69.4865,88.3972,-23.64,88,23,4.16,few clouds
265,Kang,BW,-23.6752,22.7876,70.86,60,17,13.58,few clouds
266,Port Elizabeth,ZA,-33.918,25.5701,65.1,82,0,13.8,clear sky
267,Kitimat,CA,54.0524,-128.6534,34.92,28,100,3.09,light rain
268,Tikapur,NP,28.5,81.1333,59.11,67,0,3.18,clear sky
269,Hervey Bay,AU,-25.2986,152.8535,77.14,70,2,5.46,clear sky
270,Mitu,CO,1.1983,-70.1733,79.27,77,100,3.2,overcast clouds
271,Laguna,US,38.421,-121.4238,62.08,50,0,9.22,clear sky
272,Puerto Lopez,CO,4.0845,-72.956,75.96,88,91,4.21,overcast clouds
273,Muroto,JP,33.2833,134.15,61.43,57,97,6.42,overcast clouds
274,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,93,87,7.18,light rain
275,Hammerfest,NO,70.6634,23.6821,37.85,75,75,9.22,broken clouds
276,Troitsko-Pechorsk,RU,62.7084,56.1964,3.6,97,93,6.22,overcast clouds
277,Tadine,NC,-21.55,167.8833,79.05,63,0,6.85,clear sky
278,Coquimbo,CL,-29.9533,-71.3436,62.33,77,0,5.75,clear sky
279,Byron Bay,AU,-28.65,153.6167,80.71,42,1,5.32,clear sky
280,Atbasar,KZ,51.8,68.3333,31.93,96,100,19.95,light snow
281,Salalah,OM,17.0151,54.0924,73.49,56,0,3.44,clear sky
282,Mount Isa,AU,-20.7333,139.5,78.57,27,50,11.5,scattered clouds
283,Port Hardy,CA,50.6996,-127.4199,41.18,93,75,3.44,broken clouds
284,Taoudenni,ML,22.6783,-3.9836,78.17,14,100,10.76,overcast clouds
285,Hit,IQ,33.6416,42.8251,65.17,39,45,5.28,scattered clouds
286,Shenjiamen,CN,29.9576,122.298,56.23,82,100,11.5,overcast clouds
287,Dingle,PH,10.9995,122.6711,81.03,84,100,7.67,overcast clouds
288,Pacific Grove,US,36.6177,-121.9166,61.56,72,0,5.99,clear sky
289,Micheweni,TZ,-4.9667,39.8333,77.4,78,1,4.43,clear sky
290,Kuching,MY,1.55,110.3333,78.13,100,40,0.0,scattered clouds
291,Noumea,NC,-22.2763,166.4572,84.18,99,1,8.79,clear sky
292,Bissora,GW,12.2231,-15.4475,77.07,70,76,5.41,broken clouds
293,Aksu,CN,41.1231,80.2644,33.94,51,19,3.51,few clouds
294,Shubarshi,KZ,48.5872,57.1869,28.56,88,96,18.79,overcast clouds
295,Boende,CD,-0.2167,20.8667,69.91,96,69,1.66,light rain
296,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,58,6.91,mist
297,Wajid,SO,3.8093,43.2471,72.18,86,13,12.21,few clouds
298,San Matias,BO,-16.3667,-58.4,71.8,96,100,4.12,moderate rain
299,Kidal,ML,18.4411,1.4078,72.57,17,58,11.52,broken clouds
300,Wuda,CN,39.4994,106.7117,33.26,41,0,1.28,clear sky
301,Geraldton,AU,-28.7667,114.6,73.81,25,0,24.16,clear sky
302,Sibolga,ID,1.7427,98.7792,74.82,95,100,4.0,overcast clouds
303,Sarahan,IN,31.5167,77.8,34.43,66,3,10.42,clear sky
304,Zyryanovsk,KZ,49.7386,84.2719,31.73,86,100,4.52,light snow
305,Madang,PG,-5.2246,145.7966,85.95,63,73,0.56,broken clouds
306,Porosozero,RU,62.7191,32.727,32.22,98,97,0.11,overcast clouds
307,Tura,IN,25.5198,90.2201,60.15,88,0,3.71,clear sky
308,Nantucket,US,41.2835,-70.0995,42.15,65,0,0.0,clear sky
309,Fortuna,US,40.5982,-124.1573,57.92,71,0,10.36,clear sky
310,Lunenburg,CA,44.3835,-64.3155,37.45,84,98,16.11,overcast clouds
311,Husavik,IS,66.0449,-17.3389,41.99,92,100,8.46,overcast clouds
312,Ixtapa,MX,20.7,-105.2,78.03,78,75,9.22,broken clouds
313,Kaniama,CD,-7.5667,24.1833,64.71,97,97,2.35,light rain
314,Tampilisan,PH,8.0167,122.6833,80.74,81,100,1.12,overcast clouds
315,Tatawin,TN,32.9297,10.4518,59.74,39,0,3.49,clear sky
316,Airai,TL,-8.9266,125.4092,71.35,61,51,1.28,broken clouds
317,Houma,US,29.5958,-90.7195,64.4,81,100,14.97,overcast clouds
318,Andenes,NO,69.3143,16.1194,39.18,75,40,9.22,scattered clouds
319,Osterburg,DE,52.7833,11.7667,43.09,81,1,9.53,clear sky
320,Santa Rosa De Viterbo,BR,-21.4728,-47.3631,68.88,92,95,2.51,overcast clouds
321,Dalbandin,PK,28.8947,64.4101,55.98,28,0,6.11,clear sky
322,Evensk,RU,61.95,159.2333,12.56,81,99,15.48,overcast clouds
323,Kochevo,RU,59.5994,54.3125,14.27,85,100,10.54,overcast clouds
324,Waingapu,ID,-9.6567,120.2641,83.3,72,60,3.98,broken clouds
325,Seoul,KR,37.5683,126.9778,45.84,84,40,8.05,scattered clouds
326,Xushan,CN,30.1764,121.2457,57.96,85,100,4.59,overcast clouds
327,Port Blair,IN,11.6667,92.75,79.97,82,100,9.1,overcast clouds
328,Wanning,CN,18.8003,110.3967,77.02,91,53,6.73,broken clouds
329,Avera,US,33.194,-82.5271,51.31,57,74,8.88,broken clouds
330,Puksoozero,RU,62.5903,40.6066,22.15,97,95,2.93,overcast clouds
331,Nizhniy Kuranakh,RU,58.8353,125.4869,-30.46,100,73,1.59,broken clouds
332,Lebedinyy,RU,58.5167,125.5167,-23.87,100,98,4.94,overcast clouds
333,Madison,US,34.7334,-86.5667,48.33,56,0,1.01,clear sky
