City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
383,Bonthe,SL,76.69,7.5264,-12.505,light rain,Bonthe Holiday Village
384,Sharjah,AE,76.98,25.3573,55.4033,clear sky,Swiss Belhotel Sharjah
389,Gurupa,BR,78.12,-1.405,-51.64,scattered clouds,Hotel Vitória
390,Daru,PG,82.99,-9.0763,143.2092,overcast clouds,Daru Lodge
395,Bekwai,GH,71.28,6.4534,-1.5774,scattered clouds,Annex Plaza Hotel
398,Quelimane,MZ,76.95,-17.8786,36.8883,scattered clouds,Hotel Flamingo
399,Maceio,BR,76.44,-9.6658,-35.7353,clear sky,Hotel Ponta Verde Maceió
400,Manaia,NZ,70.57,-39.55,174.1333,clear sky,Freedom Campground
404,Bathsheba,BB,83.01,13.2167,-59.5167,scattered clouds,Atlantis Hotel
407,Kalmunai,LK,75.99,7.4167,81.8167,overcast clouds,VS Villa
409,Pringsewu,ID,75.99,-5.3582,104.9744,overcast clouds,Urban Style by Front One
411,Ternate,ID,83.16,0.8,127.4,overcast clouds,Sahid Bela Ternate Hotel
414,Mecca,SA,77.67,21.4267,39.8261,clear sky,"Makkah Clock Royal Tower, A Fairmont Hotel"
418,Marsh Harbour,BS,78.48,26.5412,-77.0636,clear sky,Abaco Beach Resort
420,Jacareacanga,BR,80.58,-6.2222,-57.7528,broken clouds,Casa do Ian😎
421,Kilindoni,TZ,78.3,-7.9139,39.6668,clear sky,Bustani B&B
425,Isangel,VU,82.51,-19.55,169.2667,few clouds,Tanna Lodge
427,Padang,ID,75.65,-0.9492,100.3543,moderate rain,Mercure Padang
442,Planadas,CO,75.63,3.197,-75.6451,broken clouds,Coffee Hotel Planadas
444,Pasni,PK,77.36,25.2631,63.471,clear sky,Kashmiri Hotal
445,Bontang,ID,79.07,0.1333,117.5,heavy intensity rain,KOPKAR Hotel Bintang Sintuk
451,Kulhudhuffushi,MV,81.21,6.6221,73.07,moderate rain,Haajy Guest House 1
455,Vila Velha,BR,76.95,-20.3297,-40.2925,broken clouds,Hotel Vitória Palace
461,Port-Gentil,GA,78.76,-0.7193,8.7815,scattered clouds,Fengshui Residence
462,Kawalu,ID,75.7,-7.3817,108.2082,overcast clouds,West Jontor
465,Buin,CL,82.72,-33.7333,-70.75,clear sky,Paihuen
466,Praia,CV,75.74,14.9215,-23.5087,scattered clouds,LT Aparthotel
473,Comodoro Rivadavia,AR,73.26,-45.8667,-67.5,clear sky,Austral Hotel
478,Sawtell,AU,81.19,-30.3833,153.1,clear sky,The Bungalow Sawtell
480,Fomboni,KM,78.4,-12.28,43.7425,few clouds,Auberge les abou
488,Gorontalo,ID,82.53,0.5412,123.0595,overcast clouds,Maqna Hotel by Prasanthi
496,Takoradi,GH,78.84,4.8845,-1.7554,light rain,Raybow International Hotel
