City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Richards Bay,ZA,2022-11-09 17:25:49,-28.783,32.0377,72.52,88,30,11.68
154,Severo-Kurilsk,RU,2022-11-09 17:28:15,50.6789,156.125,34.12,65,16,8.46
155,Medea,DZ,2022-11-09 17:28:15,36.2642,2.7539,62.96,42,100,3.69
156,Gamba,GA,2022-11-09 17:28:16,-2.65,10.0,77.56,86,100,8.1
157,Coahuayana,MX,2022-11-09 17:28:16,18.7333,-103.6833,85.53,64,18,3.15
158,Tilichiki,RU,2022-11-09 17:28:17,60.4667,166.1,5.13,96,87,4.36
159,Kysyl-Syr,RU,2022-11-09 17:28:17,63.8986,122.7617,-2.54,100,100,1.88
160,Goderich,CA,2022-11-09 17:23:19,43.7501,-81.7165,57.9,38,45,14.97
161,Ugoofaaru,MV,2022-11-09 17:28:18,5.6667,73.0,80.11,79,99,9.82
162,Pundaguitan,PH,2022-11-09 17:28:18,6.3711,126.1689,82.44,74,100,6.24
163,Nome,US,2022-11-09 17:27:46,64.5011,-165.4064,33.87,69,100,9.22
164,Lasa,IT,2022-11-09 17:28:19,46.6166,10.7002,50.88,97,99,2.33
165,Nuuk,GL,2022-11-09 17:28:19,64.1835,-51.7216,18.21,57,75,9.22
166,Kaitangata,NZ,2022-11-09 17:28:19,-46.2817,169.8464,38.48,91,6,3.33
167,Benton Harbor,US,2022-11-09 17:28:20,42.1167,-86.4542,58.93,55,100,4.61
168,Beyneu,KZ,2022-11-09 17:28:20,45.3167,55.2,39.92,70,25,9.93
169,Nieuw Amsterdam,SR,2022-11-09 17:28:21,5.8833,-55.0833,88.14,69,40,4.61
170,Ahipara,NZ,2022-11-09 17:28:21,-35.1667,173.1667,56.95,93,49,7.96
171,Katsuura,JP,2022-11-09 17:28:22,35.1333,140.3,63.66,74,61,11.3
172,Beringovskiy,RU,2022-11-09 17:28:22,63.05,179.3167,17.91,92,100,5.48
173,Devarkonda,IN,2022-11-09 17:28:22,16.7,78.9333,71.22,71,12,3.31
174,Cabo Rojo,PR,2022-11-09 17:28:23,18.0866,-67.1457,85.44,83,15,5.01
175,Odweyne,SO,2022-11-09 17:28:23,9.4092,45.064,78.49,48,56,10.87
176,Jatai,BR,2022-11-09 17:28:23,-17.8814,-51.7144,94.75,18,0,12.39
177,Horsham,GB,2022-11-09 17:28:25,51.064,-0.3272,55.63,81,0,6.91
178,Shijak,AL,2022-11-09 17:28:26,41.3456,19.5672,55.38,82,0,3.44
179,Kanniyakumari,IN,2022-11-09 17:28:26,8.0833,77.5667,79.65,80,87,10.76
180,Comodoro Rivadavia,AR,2022-11-09 17:28:26,-45.8667,-67.5,76.86,19,0,14.97
181,Ballina,AU,2022-11-09 17:28:27,-28.8667,153.5667,59.02,98,28,8.88
182,Cabo San Lucas,MX,2022-11-09 17:27:04,22.8909,-109.9124,81.61,61,40,3.44
183,Saint-Joseph,RE,2022-11-09 17:29:27,-21.3667,55.6167,73.78,81,73,9.55
184,Pangai,TO,2022-11-09 17:29:28,-19.8,-174.35,77.11,78,75,17.27
185,Puerto Ayora,EC,2022-11-09 17:29:28,-0.7393,-90.3518,75.16,82,16,5.01
186,Xining,CN,2022-11-09 17:29:28,36.6167,101.7667,42.51,59,2,1.41
187,Shenjiamen,CN,2022-11-09 17:29:29,29.9576,122.298,67.71,91,20,6.55
188,Zunyi,CN,2022-11-09 17:29:29,27.6867,106.9072,62.53,71,71,1.63
189,Naze,JP,2022-11-09 17:29:30,28.3667,129.4833,70.72,77,100,12.75
190,Yate,GB,2022-11-09 17:29:30,51.5407,-2.4184,53.76,89,98,1.99
191,Sayat,TM,2022-11-09 17:29:30,38.7839,63.8803,39.07,38,0,7.43
192,Shanghai,CN,2022-11-09 17:24:32,31.2222,121.4581,67.93,87,6,5.01
193,Chimbote,PE,2022-11-09 17:29:31,-9.0853,-78.5783,68.49,73,69,11.21
194,Barstow,US,2022-11-09 17:27:07,34.8986,-117.0228,50.99,56,55,21.61
195,Coquimbo,CL,2022-11-09 17:29:31,-29.9533,-71.3436,56.93,94,100,12.66
196,Port Blair,IN,2022-11-09 17:29:31,11.6667,92.75,82.44,78,40,2.3
197,Vanavara,RU,2022-11-09 17:29:32,60.34,102.2797,19.69,91,100,10.47
198,Coihaique,CL,2022-11-09 17:29:32,-45.5752,-72.0662,58.95,55,100,11.5
199,High Level,CA,2022-11-09 17:29:32,58.5169,-117.136,-3.89,92,75,3.44
200,Batagay-Alyta,RU,2022-11-09 17:29:33,67.8006,130.4114,-16.74,92,68,4.41
201,Lewistown,US,2022-11-09 17:28:39,40.5992,-77.5714,56.14,64,0,0.0
202,Phalombe,MW,2022-11-09 17:29:33,-15.8064,35.6507,77.36,57,100,4.32
203,Alofi,NU,2022-11-09 17:29:34,-19.0595,-169.9187,75.09,83,66,8.05
204,Hambantota,LK,2022-11-09 17:29:34,6.1241,81.1185,78.15,84,100,3.4
205,Hilo,US,2022-11-09 17:29:34,19.7297,-155.09,71.62,90,100,8.05
206,Sitka,US,2022-11-09 17:29:34,57.0531,-135.33,37.29,60,100,5.75
207,Katherine,AU,2022-11-09 17:29:35,-14.4667,132.2667,79.12,78,100,11.5
208,Husavik,IS,2022-11-09 17:29:35,66.0449,-17.3389,38.12,97,100,7.67
209,Soyo,AO,2022-11-09 17:29:35,-6.1349,12.3689,79.54,79,19,11.12
210,Gao,ML,2022-11-09 17:29:36,16.6362,1.637,85.91,9,0,7.78
211,Bonavista,CA,2022-11-09 17:29:36,48.6499,-53.1147,36.55,68,100,35.79
212,Kizlyar,RU,2022-11-09 17:29:37,43.8469,46.715,50.47,89,73,6.78
213,Mount Gambier,AU,2022-11-09 17:29:37,-37.8333,140.7667,71.82,48,99,13.2
214,Mezen,RU,2022-11-09 17:29:37,65.8522,44.24,33.1,98,100,5.88
215,Dicabisagan,PH,2022-11-09 17:29:37,17.0818,122.4157,78.06,90,98,1.41
216,Tahe,CN,2022-11-09 17:29:38,52.3333,124.7333,15.21,86,3,3.56
217,Ribeira Grande,PT,2022-11-09 17:29:38,38.5167,-28.7,68.4,88,75,16.11
218,Clyde River,CA,2022-11-09 17:29:39,70.4692,-68.5914,-7.37,71,20,17.27
219,Kirakira,SB,2022-11-09 17:25:11,-10.4544,161.9205,78.55,86,72,6.78
220,Bud,US,2022-11-09 17:29:39,39.447,-86.1758,69.06,40,51,5.46
221,Puerto Madryn,AR,2022-11-09 17:26:22,-42.7692,-65.0385,76.35,42,78,12.68
222,Hobyo,SO,2022-11-09 17:29:39,5.3505,48.5268,80.6,69,5,13.6
223,El Alto,PE,2022-11-09 17:29:40,-4.2714,-81.2147,73.06,69,21,10.94
224,Kidal,ML,2022-11-09 17:29:40,18.4411,1.4078,83.48,7,3,7.09
225,Envira,BR,2022-11-09 17:29:40,-7.3,-70.2167,100.38,27,21,2.3
226,Hasaki,JP,2022-11-09 17:29:41,35.7333,140.8333,54.21,66,37,7.27
227,Cristalina,BR,2022-11-09 17:29:41,-16.7686,-47.6136,76.69,49,46,5.93
228,Fortuna,US,2022-11-09 17:29:41,40.5982,-124.1573,50.94,95,0,6.91
229,Arco,IT,2022-11-09 17:30:42,45.9177,10.8867,61.88,86,100,0.25
230,Inhambane,MZ,2022-11-09 17:30:42,-23.865,35.3833,80.58,89,20,20.71
231,Te Anau,NZ,2022-11-09 17:30:42,-45.4167,167.7167,38.98,91,13,2.28
232,Maraa,BR,2022-11-09 17:30:43,-1.8333,-65.3667,90.54,51,87,4.47
233,Chiredzi,ZW,2022-11-09 17:30:43,-21.05,31.6667,79.09,63,28,10.47
234,Santo Antonio Do Leverger,BR,2022-11-09 17:30:44,-15.8656,-56.0767,98.98,12,0,2.13
235,Shingu,JP,2022-11-09 17:30:44,33.7333,135.9833,52.57,73,0,5.79
236,Madang,PG,2022-11-09 17:30:45,-5.2246,145.7966,75.13,92,100,6.6
237,Lamu,KE,2022-11-09 17:30:45,-2.2717,40.902,80.82,87,69,7.49
238,Bandarbeyla,SO,2022-11-09 17:27:05,9.4942,50.8122,80.1,78,26,10.74
239,Kyzyl-Mazhalyk,RU,2022-11-09 17:30:45,51.1333,90.6,19.8,81,100,2.24
240,Yanam,IN,2022-11-09 17:30:46,16.7333,82.2167,77.4,73,36,5.68
241,Belyy Yar,RU,2022-11-09 17:30:47,53.6039,91.3903,30.09,78,0,6.71
242,Kumluca,TR,2022-11-09 17:30:47,36.3703,30.2869,65.64,56,8,5.99
243,Sarh,TD,2022-11-09 17:30:48,9.1429,18.3923,82.31,54,0,1.14
244,Mount Isa,AU,2022-11-09 17:30:48,-20.7333,139.5,73.17,73,99,8.05
245,Merauke,ID,2022-11-09 17:30:49,-8.4667,140.3333,79.2,87,98,10.89
246,Waipawa,NZ,2022-11-09 17:30:49,-41.4122,175.5153,51.44,84,89,14.94
247,Port Hardy,CA,2022-11-09 17:30:47,50.6996,-127.4199,28.58,93,20,4.61
248,Longyearbyen,SJ,2022-11-09 17:30:50,78.2186,15.6401,19.24,79,0,12.66
249,Geraldton,AU,2022-11-09 17:30:50,-28.7667,114.6,54.01,87,6,5.75
250,Lahij,YE,2022-11-09 17:30:50,13.1667,44.5833,74.12,82,2,6.78
251,Deputatskiy,RU,2022-11-09 17:30:51,69.3,139.9,-9.99,94,99,4.79
252,Anadyr,RU,2022-11-09 17:30:51,64.75,177.4833,16.3,85,75,11.18
253,Innisfail,AU,2022-11-09 17:30:51,-17.5333,146.0333,74.62,78,79,5.23
254,Ketchikan,US,2022-11-09 17:30:32,55.3422,-131.6461,27.07,80,0,0.0
255,Tankhoy,RU,2022-11-09 17:30:52,51.5528,105.1306,29.97,86,100,2.89
256,Cherskiy,RU,2022-11-09 17:30:52,68.75,161.3,-3.08,99,100,3.91
257,Thinadhoo,MV,2022-11-09 17:30:52,0.5333,72.9333,82.24,73,91,16.67
258,Maragogi,BR,2022-11-09 17:30:53,-9.0122,-35.2225,81.88,68,10,10.09
259,General Higinio Morinigo,PY,2022-11-09 17:30:53,-25.95,-55.9167,81.9,33,75,3.69
260,Goure,NE,2022-11-09 17:30:53,13.9835,10.2704,83.52,16,12,8.12
261,Vao,NC,2022-11-09 17:30:54,-22.6667,167.4833,73.24,80,44,15.57
262,San Quintin,MX,2022-11-09 17:30:54,30.4833,-115.95,66.0,63,74,17.34
263,Rocha,UY,2022-11-09 17:30:54,-34.4833,-54.3333,73.2,47,2,12.93
264,Praia Da Vitoria,PT,2022-11-09 17:30:55,38.7333,-27.0667,68.76,83,40,22.44
265,Bahar,IR,2022-11-09 17:30:55,34.9072,48.4414,48.36,40,40,9.22
266,Grindavik,IS,2022-11-09 17:30:56,63.8424,-22.4338,42.75,87,0,4.61
267,Gaozhou,CN,2022-11-09 17:30:56,21.9392,110.8461,70.97,87,22,0.74
268,Yar-Sale,RU,2022-11-09 17:30:56,66.8333,70.8333,-1.34,98,22,4.43
269,Namtsy,RU,2022-11-09 17:30:57,62.7161,129.6658,-8.1,96,100,2.8
270,Tikapur,NP,2022-11-09 17:30:57,28.5,81.1333,66.38,80,1,4.79
271,Shitkino,RU,2022-11-09 17:30:57,56.3703,98.3543,21.0,92,47,6.04
272,Ginda,IN,2022-11-09 17:30:58,30.6945,78.4932,46.36,80,19,6.49
273,Bengkulu,ID,2022-11-09 17:30:58,-3.8004,102.2655,74.97,93,100,3.53
274,Catuday,PH,2022-11-09 17:30:58,16.2923,119.8062,79.23,84,80,6.8
275,Evensk,RU,2022-11-09 17:31:59,61.95,159.2333,8.96,92,100,7.72
276,Cabinda,AO,2022-11-09 17:31:59,-5.55,12.2,80.74,78,75,9.22
277,Nuevo Progreso,MX,2022-11-09 17:31:59,23.1667,-97.95,82.54,71,3,6.6
278,Nizhniy Kuranakh,RU,2022-11-09 17:32:00,58.8353,125.4869,17.42,93,100,8.41
279,Aginskoye,RU,2022-11-09 17:32:00,51.1,114.53,21.31,66,100,2.53
280,Komsomolskiy,UZ,2022-11-09 17:32:00,40.4272,71.7189,36.32,87,10,9.22
281,Kargil,IN,2022-11-09 17:32:01,34.5667,76.1,26.98,81,100,6.31
282,Port Macquarie,AU,2022-11-09 17:32:01,-31.4333,152.9167,57.88,81,26,3.91
283,Tautira,PF,2022-11-09 17:32:02,-17.7333,-149.15,76.87,81,21,13.65
284,Ilulissat,GL,2022-11-09 17:32:02,69.2167,-51.1,-9.67,77,23,5.48
285,Mae Ramat,TH,2022-11-09 17:32:02,16.984,98.5166,69.8,90,77,1.83
286,Saurimo,AO,2022-11-09 17:32:03,-9.6608,20.3916,67.39,88,95,4.94
287,Presidente Medici,BR,2022-11-09 17:32:03,-11.1753,-61.9014,102.47,22,14,2.01
288,Sterling,US,2022-11-09 17:28:31,39.0062,-77.4286,59.52,45,0,3.44
289,Dikson,RU,2022-11-09 17:30:16,73.5069,80.5464,5.59,86,100,7.14
290,Carrizal,VE,2022-11-09 17:32:04,10.3499,-66.9863,71.01,77,85,1.16
291,Namibe,AO,2022-11-09 17:32:05,-15.1961,12.1522,68.86,74,3,13.51
292,Sao Joao Da Barra,BR,2022-11-09 17:32:05,-21.6403,-41.0511,75.29,73,98,14.81
293,Strezhevoy,RU,2022-11-09 17:32:06,60.7333,77.5889,27.07,97,100,7.11
294,Collie,AU,2022-11-09 17:32:07,-33.3667,116.15,48.38,97,1,2.21
